Type;Fuel;Segment;Euro Standart;Alpha;Beta;Gamma;Delta;Epsilon;Zita;Hta;;;;;;;
passengerCar;Petrol Hybrid;medium;Euro 6 a/b/c;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;medium;Euro 6 d-temp;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;medium;Euro 6 d-temp;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;medium;Euro 6 d-temp;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;medium;Euro 6 d;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;medium;Euro 6 d;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;medium;Euro 6 d;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;large;Euro 4;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;large;Euro 4;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;large;Euro 5;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;large;Euro 5;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;large;Euro 6 a/b/c;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;large;Euro 6 a/b/c;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;large;Euro 6 d-temp;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;large;Euro 6 d-temp;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;large;Euro 6 d-temp;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;large;Euro 6 d;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;large;Euro 6 d;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol Hybrid;large;Euro 6 d;0.07404;-7.30535;941.02857;0;0;0;565.72189;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;small;Euro 6 a/b/c;0.00043;-0.05504;3.20704;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;small;Euro 6 a/b/c;0.00043;-0.05504;3.20704;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;small;Euro 6 a/b/c;0.00011;-0.01012;0.67602;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;small;Euro 6 a/b/c;0.00011;-0.01012;0.67602;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;small;Euro 6 d-temp;0.00043;-0.05504;3.20704;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;small;Euro 6 d-temp;0.00043;-0.05504;3.20704;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;small;Euro 6 d-temp;0.00043;-0.05504;3.20704;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;small;Euro 6 d-temp;0.00011;-0.01012;0.67602;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;small;Euro 6 d-temp;0.00011;-0.01012;0.67602;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;small;Euro 6 d-temp;0.00011;-0.01012;0.67602;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;small;Euro 6 d;0.00043;-0.05504;3.20704;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;small;Euro 6 d;0.00043;-0.05504;3.20704;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;small;Euro 6 d;0.00043;-0.05504;3.20704;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;small;Euro 6 d;0.00011;-0.01012;0.67602;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;small;Euro 6 d;0.00011;-0.01012;0.67602;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;small;Euro 6 d;0.00011;-0.01012;0.67602;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;medium;Euro 6 a/b/c;0.00052;-0.06675;3.73321;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;medium;Euro 6 a/b/c;0.00052;-0.06675;3.73321;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;medium;Euro 6 a/b/c;0.00012;-0.0122;0.85559;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;medium;Euro 6 a/b/c;0.00012;-0.0122;0.85559;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;medium;Euro 6 d-temp;0.00052;-0.06675;3.73321;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;medium;Euro 6 d-temp;0.00052;-0.06675;3.73321;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;medium;Euro 6 d-temp;0.00052;-0.06675;3.73321;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;medium;Euro 6 d-temp;0.00012;-0.0122;0.85559;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;medium;Euro 6 d-temp;0.00012;-0.0122;0.85559;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;medium;Euro 6 d-temp;0.00012;-0.0122;0.85559;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;medium;Euro 6 d;0.00052;-0.06675;3.73321;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;medium;Euro 6 d;0.00052;-0.06675;3.73321;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;medium;Euro 6 d;0.00052;-0.06675;3.73321;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;medium;Euro 6 d;0.00012;-0.0122;0.85559;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;medium;Euro 6 d;0.00012;-0.0122;0.85559;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;medium;Euro 6 d;0.00012;-0.0122;0.85559;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;large;Euro 6 a/b/c;0.00061;-0.07808;4.38428;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;large;Euro 6 a/b/c;0.00061;-0.07808;4.38428;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;large;Euro 6 a/b/c;0.00012;-0.013;1.06342;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;large;Euro 6 a/b/c;0.00012;-0.013;1.06342;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;large;Euro 6 d-temp;0.00061;-0.07808;4.38428;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;large;Euro 6 d-temp;0.00061;-0.07808;4.38428;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;large;Euro 6 d-temp;0.00061;-0.07808;4.38428;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;large;Euro 6 d-temp;0.00012;-0.013;1.06342;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;large;Euro 6 d-temp;0.00012;-0.013;1.06342;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;large;Euro 6 d-temp;0.00012;-0.013;1.06342;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;large;Euro 6 d;0.00061;-0.07808;4.38428;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;large;Euro 6 d;0.00061;-0.07808;4.38428;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Petrol;large;Euro 6 d;0.00061;-0.07808;4.38428;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;large;Euro 6 d;0.00012;-0.013;1.06342;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;large;Euro 6 d;0.00012;-0.013;1.06342;0;0;0;1;;;;;;;
passengerCar;Petrol PHEV ~ Electricity;large;Euro 6 d;0.00012;-0.013;1.06342;0;0;0;1;;;;;;;
passengerCar;Diesel;mini;Euro 4;0.00922;0.11073;18.21292;0;0.00129;0.63134;0.85316;;;;;;;
passengerCar;Diesel;mini;Euro 5;0.00922;0.11073;18.21292;0;0.00129;0.63134;0.85316;;;;;;;
passengerCar;Diesel;mini;Euro 5;0.00922;0.11073;18.21292;0;0.00129;0.63134;0.85316;;;;;;;
passengerCar;Diesel;mini;Euro 6 a/b/c;0.00922;0.11073;18.21292;0;0.00129;0.63134;0.85316;;;;;;;
passengerCar;Diesel;mini;Euro 6 a/b/c;0.00922;0.11073;18.21292;0;0.00129;0.63134;0.85316;;;;;;;
passengerCar;Diesel;mini;Euro 6 a/b/c;0.00922;0.11073;18.21292;0;0.00129;0.63134;0.85316;;;;;;;
passengerCar;Diesel;mini;Euro 6 d-temp;0.00922;0.11073;18.21292;0;0.00129;0.63134;0.85316;;;;;;;
passengerCar;Diesel;mini;Euro 6 d-temp;0.00922;0.11073;18.21292;0;0.00129;0.63134;0.85316;;;;;;;
passengerCar;Diesel;mini;Euro 6 d-temp;0.00922;0.11073;18.21292;0;0.00129;0.63134;0.85316;;;;;;;
passengerCar;Diesel;mini;Euro 6 d;0.00922;0.11073;18.21292;0;0.00129;0.63134;0.85316;;;;;;;
passengerCar;Diesel;mini;Euro 6 d;0.00922;0.11073;18.21292;0;0.00129;0.63134;0.85316;;;;;;;
passengerCar;Diesel;mini;Euro 6 d;0.00922;0.11073;18.21292;0;0.00129;0.63134;0.85316;;;;;;;
passengerCar;Diesel;small;Conventional;0.00914;-1.36078;77.369;0;0;0;15.29368;;;;;;;
passengerCar;Diesel;small;Euro 1;0.00104;-0.02063;15.91296;0;-0.00082;0.1734;2.57655;;;;;;;
passengerCar;Diesel;small;Euro 2;0.00183;-0.09028;19.72648;0;-0.00055;0.16176;3.24818;;;;;;;
passengerCar;Diesel;small;Euro 3;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;small;Euro 4;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;small;Euro 5;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;small;Euro 5;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;small;Euro 6 a/b/c;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;small;Euro 6 a/b/c;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;small;Euro 6 a/b/c;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;small;Euro 6 d-temp;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;small;Euro 6 d-temp;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;small;Euro 6 d-temp;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;small;Euro 6 d;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;small;Euro 6 d;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;small;Euro 6 d;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;medium;Conventional;0.00914;-1.36078;77.369;0;0;0;15.29368;;;;;;;
passengerCar;Diesel;medium;Euro 1;0.00104;-0.02063;15.91296;0;-0.00082;0.1734;2.57655;;;;;;;
passengerCar;Diesel;medium;Euro 2;0.00183;-0.09028;19.72648;0;-0.00055;0.16176;3.24818;;;;;;;
passengerCar;Diesel;medium;Euro 3;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;medium;Euro 4;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;medium;Euro 5;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;medium;Euro 5;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;medium;Euro 6 a/b/c;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;medium;Euro 6 a/b/c;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;medium;Euro 6 a/b/c;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;medium;Euro 6 d-temp;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;medium;Euro 6 d-temp;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;medium;Euro 6 d-temp;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;medium;Euro 6 d;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;medium;Euro 6 d;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;medium;Euro 6 d;-0.0013;0.22162;16.43591;0;-0.00184;0.29235;2.37716;;;;;;;
passengerCar;Diesel;large;Conventional;0.00914;-1.36078;77.369;0;0;0;15.29368;;;;;;;
