Type;Fuel;Segment;Euro Standart;Road Slope;Load;Alpha;Beta;Gamma;Delta;Epsilon;Zita;Hta;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro III;0.04;1.00;0.000175455077516071;0.0746250669519985;2.91629273854387;5.24763829841515;-0.0000451855884580874;0.0132362370307174;0.199983425619061;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro IV;-0.04;0.00;0.00185510954226041;-0.195612920239215;6.78185454732592;2.8682238188448;0.000168812274752339;0.00243642955258349;1.60641175879932;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro IV;-0.04;0.5;-0.0000520745585814826;0.0272239603284221;2.88861798632469;-11.7564804827355;0.00140354849157879;0.0304690680251638;0.183552924910382;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro IV;-0.04;1.00;-0.000330106470317604;0.0478637203248103;-0.812247357819756;4.59881132255338;0.000714536751001787;-0.0127649549281519;0.0831519755080831;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro IV;0.00;0.00;0.0071715072833679;-0.552243951572707;29.2292849186479;8.0133205442337;0.00039913124953369;0.00436874932947926;4.32385884508603;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro IV;0.00;0.5;0.00376086706397235;-0.290869566111799;16.0869052316402;4.32859481851607;0.000210706828312288;0.0023162713610677;2.18887724802624;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro IV;0.00;1.00;0.0060002618884385;-0.466412418267473;27.141364746216;6.90667700608567;0.000334851250667125;0.00419704646561766;3.41535410607867;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro IV;0.04;0.00;0.000305094363673915;0.0631352361827298;2.83720674360318;6.17928166666676;-0.0000599016351830924;0.0163287041581731;0.296979114555039;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro IV;0.04;0.5;0.00021570902149027;0.0816058171273815;3.00770118684767;4.46619028245964;-0.0000473843912226729;0.0150115079223333;0.263129835091945;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro IV;0.04;1.00;0.0000760891947508658;0.0895294425320692;2.81208129837119;2.84203184130502;-0.0000335545993297246;0.0123508569877225;0.21420121740955;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro IV;-0.04;0.00;0.00185510954226041;-0.195612920239215;6.78185454732592;2.8682238188448;0.000168812274752339;0.00243642955258349;1.60641175879932;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro IV;-0.04;0.5;-0.0000520745585814826;0.0272239603284221;2.88861798632469;-11.7564804827355;0.00140354849157879;0.0304690680251638;0.183552924910382;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro IV;-0.04;1.00;-0.000330106470317604;0.0478637203248103;-0.812247357819756;4.59881132255338;0.000714536751001787;-0.0127649549281519;0.0831519755080831;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro IV;0.00;0.00;0.0071715072833679;-0.552243951572707;29.2292849186479;8.0133205442337;0.00039913124953369;0.00436874932947926;4.32385884508603;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro IV;0.00;0.5;0.00376086706397235;-0.290869566111799;16.0869052316402;4.32859481851607;0.000210706828312288;0.0023162713610677;2.18887724802624;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro IV;0.00;1.00;0.0060002618884385;-0.466412418267473;27.141364746216;6.90667700608567;0.000334851250667125;0.00419704646561766;3.41535410607867;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro IV;0.04;0.00;0.000305094363673915;0.0631352361827298;2.83720674360318;6.17928166666676;-0.0000599016351830924;0.0163287041581731;0.296979114555039;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro IV;0.04;0.5;0.00021570902149027;0.0816058171273815;3.00770118684767;4.46619028245964;-0.0000473843912226729;0.0150115079223333;0.263129835091945;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro IV;0.04;1.00;0.0000760891947508658;0.0895294425320692;2.81208129837119;2.84203184130502;-0.0000335545993297246;0.0123508569877225;0.21420121740955;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro V;-0.04;0.00;0.000598596371847735;-0.0833752975794374;3.9251069577396;6.40514624600751;-0.000529637599664549;0.0501694220953184;0.565909997209807;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro V;-0.04;0.5;-0.00445759212918476;1.08688072129119;-5.44571724165183;10.367795492183;0.0239883606214034;-0.117709175938302;0.310700156985783;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro V;-0.04;1.00;-0.00802539264457404;1.21851704381852;-5.86414728857026;10.6787753651556;0.0240180441094828;-0.108060879528423;0.291243235730812;;;;;;
heavyCommercial;Diesel;rigid7.5;Euro V;0.00;0.00;-0.00076305592425542;0.0827186703986329;4.02720495592562;0.246180120266323;-0.000559443219346326;0.0593016277585453;0.249103024368617;;;;;;
